year,quantity,units,bgs_statistic_type_trans,bgs_commodity_trans,country_trans
1/1/2000,20000,tonnes (metric),Imports,"bauxite, alumina and aluminium",Egypt
1/1/2000,400000,tonnes (metric),Imports,"bauxite, alumina and aluminium",Egypt
1/1/2000,3400000,tonnes (metric),Imports,iron ore,Egypt
1/1/2000,300000,tonnes (metric),Imports,"iron, steel and ferro-alloys",Egypt
1/1/2000,90000,tonnes (metric),Imports,kaolin,Egypt
1/1/2000,0,tonnes (metric),Imports,lead,Egypt
1/1/2000,9000,tonnes (metric),Imports,lead,Egypt
1/1/2000,11200,tonnes (metric),Imports,magnesite and magnesia,Egypt
1/1/2000,500,tonnes (metric),Imports,manganese,Egypt
1/1/2000,400,tonnes (metric),Imports,nickel,Egypt
1/1/2000,12500,tonnes (metric),Imports,potash,Egypt
1/1/2000,4000,tonnes (metric),Imports,salt,Egypt
1/1/2000,92000,tonnes (metric),Imports,sulphur and pyrites,Egypt
1/1/2000,240,tonnes (metric),Imports,tin,Egypt
1/1/2000,3000,tonnes (metric),Imports,"asbestos, unmanufactured",Egypt
1/1/2000,17000,tonnes (metric),Imports,zinc,Egypt
1/1/2000,400000,tonnes (metric),Imports,"bauxite, alumina and aluminium",Egypt
1/1/2001,833,tonnes (metric),Imports,diatomite,Egypt
1/1/2001,1182650,tonnes (metric),Imports,"iron, steel and ferro-alloys",Egypt
1/1/2001,709,tonnes (metric),Imports,"iron, steel and ferro-alloys",Egypt
1/1/2001,,tonnes (metric),Imports,zinc,Egypt
1/1/2001,7040,tonnes (metric),Imports,salt,Egypt
1/1/2001,117,tonnes (metric),Imports,antimony,Egypt
1/1/2001,262935,tonnes (metric),Imports,"bauxite, alumina and aluminium",Egypt
1/1/2001,823,tonnes (metric),Imports,bentonite and fuller's earth,Egypt
1/1/2001,21695,tonnes (metric),Imports,"iron, steel and ferro-alloys",Egypt
1/1/2001,83,tonnes (metric),Imports,feldspar,Egypt
1/1/2001,408,tonnes (metric),Imports,fluorspar,Egypt
1/1/2001,378,tonnes (metric),Imports,graphite,Egypt
1/1/2001,1876,tonnes (metric),Imports,gypsum and plaster,Egypt
1/1/2001,12000,kilograms,Imports,iodine,Egypt
1/1/2001,97000,tonnes (metric),Imports,sulphur and pyrites,Egypt
1/1/2001,3300000,tonnes (metric),Imports,iron ore,Egypt
1/1/2001,429827,tonnes (metric),Imports,"iron, steel and ferro-alloys",Egypt
1/1/2001,1593,tonnes (metric),Imports,talc,Egypt
1/1/2001,9763,tonnes (metric),Imports,kaolin,Egypt
1/1/2001,973,tonnes (metric),Imports,sulphur and pyrites,Egypt
1/1/2001,936,tonnes (metric),Imports,titanium,Egypt
1/1/2001,8062,tonnes (metric),Imports,lead,Egypt
1/1/2001,1477,tonnes (metric),Imports,titanium,Egypt
1/1/2001,15376,tonnes (metric),Imports,magnesite and magnesia,Egypt
1/1/2001,400000,tonnes (metric),Imports,"bauxite, alumina and aluminium",Egypt
1/1/2001,18412,tonnes (metric),Imports,manganese,Egypt
1/1/2001,2000,kilograms,Imports,mercury,Egypt
1/1/2001,659,tonnes (metric),Imports,"asbestos, unmanufactured",Egypt
1/1/2001,134,tonnes (metric),Imports,nickel,Egypt
1/1/2001,13900,tonnes (metric),Imports,potash,Egypt
1/1/2002,208500,tonnes (metric),Imports,sulphur and pyrites,Egypt
1/1/2002,200,tonnes (metric),Imports,graphite,Egypt
1/1/2002,700,tonnes (metric),Imports,fluorspar,Egypt
