year,quantity,units,bgs_statistic_type_trans,bgs_commodity_trans,country_trans
1/1/1971,40037,tonnes (metric),Exports,coal,Morocco
1/1/1971,528895,tonnes (metric),Exports,"petroleum, crude",Egypt
1/1/1971,15202,tonnes (metric),Exports,"iron, steel and ferro-alloys",Saudi Arabia
1/1/1971,457029,tonnes (metric),Exports,iron ore,Morocco
1/1/1971,11867653,tonnes (metric),Exports,phosphate rock,Morocco
1/1/1971,30775,tonnes (metric),Exports,"iron, steel and ferro-alloys",Morocco
1/1/1971,19456,tonnes (metric),Exports,zinc,Morocco
1/1/1971,38604,tonnes (metric),Exports,salt,Egypt
1/1/1971,83,tonnes (metric),Exports,sulphur and pyrites,Morocco
1/1/1971,30863,tonnes (metric),Exports,barytes,Morocco
1/1/1971,3814,tonnes (metric),Exports,gypsum and plaster,Saudi Arabia
1/1/1971,16071,tonnes (metric),Exports,lead,Morocco
1/1/1971,91788,tonnes (metric),Exports,manganese,Morocco
1/1/1971,15333,kilograms,Exports,silver,Morocco
1/1/1971,4750,tonnes (metric),Exports,cobalt,Morocco
1/1/1971,12323,tonnes (metric),Exports,copper,Morocco
1/1/1971,30863,tonnes (metric),Exports,barytes,Morocco
1/1/1971,1043,tonnes (metric),Exports,copper,Morocco
1/1/1971,1018,tonnes (metric),Exports,salt,Jordan
1/1/1971,85014,tonnes (metric),Exports,lead,Morocco
1/1/1971,220472000,tonnes (metric),Exports,"petroleum, crude",Saudi Arabia
1/1/1971,4070,tonnes (metric),Exports,antimony,Morocco
1/1/1971,160,tonnes (metric),Exports,salt,Morocco
1/1/1971,105762,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1971,281970,tonnes (metric),Exports,phosphate rock,Egypt
1/1/1971,647278,tonnes (metric),Exports,phosphate rock,Jordan
1/1/1971,751,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1972,19185,tonnes (metric),Exports,coal,Morocco
1/1/1972,5224871,tonnes (metric),Exports,"petroleum, crude",Egypt
1/1/1972,131,tonnes (metric),Exports,"iron, steel and ferro-alloys",Egypt
1/1/1972,1359,tonnes (metric),Exports,sulphur and pyrites,Morocco
1/1/1972,12606,tonnes (metric),Exports,cobalt,Morocco
1/1/1972,5690,tonnes (metric),Exports,"iron, steel and ferro-alloys",Saudi Arabia
1/1/1972,269478000,tonnes (metric),Exports,"petroleum, crude",Saudi Arabia
1/1/1972,13580780,tonnes (metric),Exports,phosphate rock,Morocco
1/1/1972,1517,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1972,952371,tonnes (metric),Exports,phosphate rock,Jordan
1/1/1972,34866,tonnes (metric),Exports,"iron, steel and ferro-alloys",Morocco
1/1/1972,21649,tonnes (metric),Exports,zinc,Morocco
1/1/1972,13598,tonnes (metric),Exports,copper,Morocco
1/1/1972,84934,tonnes (metric),Exports,barytes,Morocco
1/1/1972,16233,tonnes (metric),Exports,salt,Egypt
1/1/1972,954,tonnes (metric),Exports,copper,Morocco
1/1/1972,130587,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1972,308210,tonnes (metric),Exports,iron ore,Morocco
1/1/1972,5752,tonnes (metric),Exports,gypsum and plaster,Saudi Arabia
1/1/1972,0,tonnes (metric),Exports,salt,Jordan
1/1/1972,138194,tonnes (metric),Exports,lead,Morocco
1/1/1972,3302,tonnes (metric),Exports,antimony,Morocco
1/1/1972,2099,kilograms,Exports,silver,Morocco
1/1/1972,212372,tonnes (metric),Exports,phosphate rock,Egypt
1/1/1972,117693,tonnes (metric),Exports,manganese,Morocco
1/1/1973,14319,tonnes (metric),Exports,copper,Morocco
1/1/1973,64,tonnes (metric),Exports,sulphur and pyrites,Morocco
1/1/1973,1535,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1973,2183,tonnes (metric),Exports,"iron, steel and ferro-alloys",Egypt
1/1/1973,10549,tonnes (metric),Exports,cobalt,Morocco
1/1/1973,151108,tonnes (metric),Exports,manganese,Morocco
1/1/1973,346272924,tonnes (metric),Exports,"petroleum, crude",Saudi Arabia
1/1/1973,1088575,tonnes (metric),Exports,phosphate rock,Jordan
1/1/1973,490085,tonnes (metric),Exports,iron ore,Morocco
1/1/1973,5485,tonnes (metric),Exports,"iron, steel and ferro-alloys",Egypt
1/1/1973,16101884,tonnes (metric),Exports,phosphate rock,Morocco
1/1/1973,61015,tonnes (metric),Exports,"iron, steel and ferro-alloys",Morocco
1/1/1973,10502,tonnes (metric),Exports,"iron, steel and ferro-alloys",Saudi Arabia
1/1/1973,21249,tonnes (metric),Exports,coal,Morocco
1/1/1973,205020,tonnes (metric),Exports,gypsum and plaster,Morocco
1/1/1973,153201,tonnes (metric),Exports,phosphate rock,Egypt
1/1/1973,968,tonnes (metric),Exports,copper,Morocco
1/1/1973,9681436,tonnes (metric),Exports,"petroleum, crude",Egypt
1/1/1973,2796,tonnes (metric),Exports,antimony,Morocco
1/1/1973,27842,kilograms,Exports,silver,Morocco
1/1/1973,5417,tonnes (metric),Exports,gypsum and plaster,Saudi Arabia
1/1/1973,1288,tonnes (metric),Exports,salt,Jordan
