الدولة,الخام,السنوات,الانتاج,minerals,وحدة الإنتاج,المصدر
المملكة العربية السعودية,الألمنيوم الأولي,2013,187,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2014,662,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2015,839,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2016,871,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2017,916,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2018,932,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2019,762.1,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2020,932,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2021,796,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2022,796,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2023,998.9,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الألمنيوم الأولي,2024,1000,Primary Aluminium,ألف طن,BGS & IOCFWMC&التقرير الاقتصادي العربي الموحد
المملكة العربية السعودية,الفضة,2010,7670,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2011,5839,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2012,5212,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2013,4655,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2014,4800,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2015,4500,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
المملكة العربية السعودية,الفضة,2016,4710,Silver,كجم,BGS & IOCFWMC & وزارة الصناعة والثروة المعدنية
